,Name,Ticker,quandlCode,quandlName,2014Fluctation,2014Vol,2013Fluctation,2013Vol,2012Fluctation,2012Vol,2012to2014,FlucAvg
23,COEUR MINING INC-CW17,CDE,GOOG/NYSE_CDE,Coeur Mining Inc (CDE),250.59%,"1,862,604",135.29%,"1,707,016",107.42%,"1,688,143",-0.8305673485140872,1.6443474264705882
31,MOLYCORP INC,MCP,GOOG/NYSE_MCP,Molycorp Inc (MCP),482.41%,"5,455,831",151.30%,"7,979,087",474.75%,"5,014,606",-0.9609967497291441,3.694880768270064
35,ENDEAVOUR SILVER CORP,EXK,GOOG/NYSE_EXK,Endeavour Silver Corp (EXK),144.53%,"1,400,696",194.24%,"1,388,488",57.39%,"1,277,721",-0.7119140625,1.3205289486898824
40,TSAKOS ENERGY NAVIGATION LTD,TNP,GOOG/NYSE_TNP,Tsakos Energy Navigation Ltd. (TNP),81.52%,"597,173",74.92%,"233,912",150.43%,"245,806",0.45526838966202776,1.0229023988394303
43,AEROPOSTALE INC,ARO,GOOG/NYSE_ARO,Aeropostale Inc (ARO),272.56%,"3,336,667",111.83%,"2,665,293",92.89%,"2,402,731",-0.7641572285143238,1.5909408908423737
45,CHIQUITA BRANDS INTL,CQB,GOOG/NYSE_CQB,Chiquita Brands International Inc (CQB),50.89%,"638,833",122.46%,"499,902",122.53%,"469,178",0.8085106382978722,0.9862584839069305
46,DOVER DOWNS GAMING & ENTERTA,DDE,GOOG/NYSE_DDE,"Dover Downs Gaming &amp; Entertainment, Inc. (DDE)",150.00%,"34,410",92.31%,"43,175",53.03%,"20,607",-0.6428571428571428,0.9844599844599843
50,WESTERN ASSET PREMIER BOND,WEA,GOOG/JSE_WEA,W G Wearne Ltd. (WEA),100.00%,"71,163",200.00%,"32,976",137.50%,"50,327",-0.3846153846153846,1.4583333333333333
56,CIA SANEAMENTO BASICO DE-ADR,SBS,GOOG/NYSE_SB,"Safe Bulkers, Inc. (SB)",138.12%,"563,602",165.41%,"347,258",124.34%,"217,935",-0.11333333333333329,1.4262466032817525
57,LEAPFROG ENTERPRISES INC,LF,GOOG/NYSE_LF,"LeapFrog Enterprises, Inc. (LF)",89.50%,"1,141,651",57.33%,"1,740,579",159.44%,"1,096,157",0.21030042918454916,1.0209070371448634
74,NEWCASTLE INVESTMENT CORP,NCT,GOOG/NYSE_NCT,Newcastle Investment Corp. (NCT),466.90%,"3,571,173",156.31%,"4,860,372",116.75%,"2,075,785",0.1732673267326732,2.4665536941455497
77,LMP REAL ESTATE INCOME FUND,RIT,GOOG/NASDAQ_RITT,RiT Technologies Ltd. (RITT),135.16%,"162,094",187.88%,"13,860",170.89%,"35,415",-0.6576576576576577,1.6464323299766337
81,JOHN HANCOCK PFD INCOME FD,HPI,GOOG/FRA_CEW3,HPI AG (CEW3),530.00%,"3,890",68.47%,"3,440",90.09%,"2,886",-0.8092105263157895,2.295195195195195
83,BLACKROCK MUNICIPAL INCOME I,BAF,GOOG/FRA_BAF,Balda AG (BAF),112.69%,"24,873",75.59%,"26,431",123.78%,"13,804",-0.2248520710059171,1.0401793858315598
87,CIMAREX ENERGY CO,XEC,GOOG/NYSE_XEC,Cimarex Energy Co (XEC),60.43%,"1,202,477",96.29%,"886,435",84.01%,"956,468",1.0230897009966777,0.8024209587677582
102,ALPHA NATURAL RESOURCES INC,ANR,GOOG/NYSE_ANR,"Alpha Natural Resources, Inc. (ANR)",359.15%,"10,776,866",115.45%,"12,343,966",355.15%,"15,764,739",-0.8733783082511676,2.7658240099580023
103,DENALI FUND/THE,DNY,GOOG/PINK_DNYS,Dynasty Limousine (DNYS),"3,200.00%","683,647","2,700.00%","195,592","1,175.00%","54,597",-0.95,23.583333333333332
112,AURICO GOLD INC,AUQ,GOOG/NYSE_AUQ,AuRico Gold Inc (AUQ),76.95%,"1,995,841",140.69%,"2,974,703",83.36%,"369,898",-0.594017094017094,1.003334345321781
120,NEOPHOTONICS CORP,NPTN,GOOG/NYSE_NPTN,NeoPhotonics Corp (NPTN),247.52%,"131,763",97.29%,"89,454",53.00%,"64,983",-0.24705882352941178,1.326022245610403
131,ASHFORD HOSPITALITY TRUST,AHT,GOOG/LON_AHT,Ashtead Group plc (AHT),62.19%,"1,568,890",92.97%,"1,025,482",147.14%,"1,196,334",5.664568911264946,1.0076342503128901
138,CHUNGHWA TELECOM LT-SPON ADR,CHT,GOOG/CNSX_CHT,Charlotte Resources Ltd (CHT),500.00%,"19,620","1,500.00%","69,682",416.67%,"9,730",-0.9,8.055555555555555
143,TEMPUR SEALY INTERNATIONAL I,TPX,GOOG/NYSE_TPX,Tempur Sealy International Inc (TPX),34.40%,"850,421",94.07%,"1,562,073",315.13%,"2,535,987",0.0637577581342863,1.4786595532276123
147,WESTLAKE CHEMICAL CORP,WLK,GOOG/NYSE_WLK,Westlake Chemical Corporation (WLK),75.30%,"715,521",66.09%,"935,364",110.81%,"1,000,011",2.661256544502618,0.8406533886039895
150,BLACKROCK FLOAT RT INCOME ST,FRA,GOOG/BVMF_FRAS3,Fras-le SA (FRAS3),89.12%,"21,927",168.24%,"16,984",85.34%,"63,464",0.8252032520325205,1.1423258958755915
155,FIRST MARBLEHEAD CORP/THE,FMD,GOOG/NYSE_FMD,The First Marblehead Corporation (FMD),925.00%,"59,171",196.53%,"59,301",113.66%,"14,695",-0.8161290322580645,4.11730919717311
180,GENWORTH FINANCIAL INC-CL A,GNW,GOOG/NYSE_GNW,Genworth Financial Inc (GNW),129.06%,"7,142,359",173.84%,"8,901,245",131.55%,"9,458,232",0.7532710280373835,1.44817520971716
184,WAGEWORKS INC,WAGE,GOOG/NYSE_WAGE,Wageworks Inc (WAGE),79.46%,"347,241",230.04%,"289,864",88.19%,"127,448",3.8801587301587306,1.325622628801688
193,SEMICONDUCTOR MANUFACT-ADR,SMI,GOOG/NYSE_SMI,Semiconductor Manufacturing Int'l (ADR) (SMI),49.18%,"167,873",102.67%,"220,800",91.95%,"137,443",1.2660944206008584,0.8126443442011709
199,EPAM SYSTEMS INC,EPAM,GOOG/NYSE_EPAM,EPAM Systems Inc (EPAM),64.48%,"481,628",115.47%,"284,548",73.51%,"186,148",2.5450000000000004,0.8448634518741894
201,CABELA'S INC,CAB,GOOG/NYSE_CAB,Cabelas Inc (CAB),53.52%,"900,141",84.96%,"756,539",160.04%,"662,664",1.4187303016659163,0.9950624855521925
204,KITE REALTY GROUP TRUST,KRG,GOOG/NYSE_KRG,Kite Realty Group Trust (KRG),341.01%,"765,032",35.71%,"160,028",50.67%,"52,716",0.7579365079365079,1.4246467475879239
208,BILL BARRETT CORP,BBG,GOOG/NYSE_BBG,Bill Barrett Corporation (BBG),137.67%,"1,319,280",91.65%,"1,209,378",149.20%,"1,297,892",-0.6153201006429969,1.2617427152537946
209,XERIUM TECHNOLOGIES INC,XRM,GOOG/NYSE_XRM,"Xerium Technologies, Inc. (XRM)",47.58%,"60,031",367.80%,"94,872",270.94%,"81,162",1.0268361581920904,2.287744465764133
213,FIRST TRUST SENIOR FLOATING,FCT,GOOG/FRA_FCT,MyPhotoAlbum Inc (FCT),200.00%,"14,561",500.00%,"43,502",400.00%,"49,540",-0.33333333333333326,3.6666666666666665
214,W&T OFFSHORE INC,WTI,GOOG/NYSE_WTI,"W&amp;T Offshore, Inc. (WTI)",142.43%,"873,000",81.50%,"593,056",101.58%,"699,108",-0.4091700522344748,1.0850483642307303
219,HALCON RESOURCES CORP,HK,GOOG/NYSE_HK,Halcon Resources Corp (HK),195.62%,"6,455,889",104.22%,"5,046,236",620.45%,"2,185,484",-0.9179566563467492,3.0676066293921056
