Name,Ticker,Pricing Source,Security Type,Market Sector,BBGID,BBGID Composite,BSID,Unique ID
DYNEGY INC-CW17,DYN/WS,UN,Equity WRT,Equity,BBG003FSV5S9,BBG003FSV5M5,627095561349,EQ0000000026884951
M&T BANK CORP - CW18,MTB/WS,UN,Equity WRT,Equity,BBG003Q19WP5,BBG003Q19WK0,627096707136,EQ0000000027596959
COEUR MINING INC-CW17,CDE/WS,UN,Equity WRT,Equity,BBG004FLL9N0,BBG004FLL9J5,627098934601,EQ0000000029743499
BIOAMBER INC-CW17,BIOA/WS,UN,Equity WRT,Equity,BBG004N9L556,BBG004N9L4Y7,627099912161,EQ0000000030434312
GENERAL MOTORS-CW15,GM/WS/C,UN,Equity WRT,Equity,BBG004Y750S2,BBG004Y750M8,627101152966,EQ0000000031233496
EASTMAN KODAK CO-CW18-135%,KODK/WSA,UN,Equity WRT,Equity,BBG005HMZ8Z7,BBG005HMZ8V1,627102971629,EQ0000000032384900
EASTMAN KODAK CO-CW18-125%,KODK/WS,UN,Equity WRT,Equity,BBG005HMZBJ8,BBG005HMZBD4,627102971648,EQ0000000032384996
JPM C&C-CW20 BASKET,22,UN,Basket WRT,Equity,BBG0063G20F8,BBG0063G2095,627105638744,EQ0000000034411993
HUDBAY MINERALS-CW18,HBM/WS,UN,Equity WRT,Equity,BBG0076X3BH9,BBG0076X3BC4,627110279453,EQ0000000037714524
OI SA-ADR-WI,OIBR-W,UN,ADR,Equity,BBG000P6R2M0,BBG000P6R062,627065861183,EQ0000000000041095
ALUMINUM CORP OF CHINA-ADR,ACH,UN,ADR,Equity,BBG000CMSZ90,BBG000CMRVH1,627065824261,EQ0000000000047080
PIMCO CORPORATE & INCOME STR,PCN,UN,Closed-End Fund,Equity,BBG000BHF0G5,BBG000BHDXK0,627065785265,EQ0000000000050820
BLACKROCK CORE BOND TRUST,BHK,UN,Closed-End Fund,Equity,BBG000C09782,BBG000C09693,627065824961,EQ0000000000052422
FIVE STAR QUALITY CARE,FVE,UN,Common Stock,Equity,BBG000BJRSV0,BBG000BJRQT7,627065795057,EQ0000000000059456
MOLYCORP INC,MCP,UN,Common Stock,Equity,BBG000LBHYD4,BBG000LBGTS0,627065861598,EQ0000000000062696
BANCO DE CHILE-ADR,BCH,UN,ADR,Equity,BBG000D5HY73,BBG000D5HVG9,627065863864,EQ0000000000079355
FIRST MAJESTIC SILVER CORP,AG,UN,Common Stock,Equity,BBG000CH7YK4,BBG000CH7WB8,627065837099,EQ0000000000081773
HYATT HOTELS CORP - CL A,H,UN,Common Stock,Equity,BBG000CVRH82,BBG000CVRFS4,627066975772,EQ0000000000085694
ENDEAVOUR SILVER CORP,EXK,UN,Common Stock,Equity,BBG000K2HDZ7,BBG000K2HB18,627065856388,EQ0000000000087554
ALLIANCE CALIF MUNI INCOME,AKP,UN,Closed-End Fund,Equity,BBG000DTJSF3,BBG000DTJPQ7,627065864739,EQ0000000000095537
ALLIANCE NEW YORK MUNI INC,AYN,UN,Closed-End Fund,Equity,BBG000BCY0T1,BBG000BCXXX5,627065758864,EQ0000000000095543
ALLIANCE NATIONAL MUNI INC,AFB,UN,Closed-End Fund,Equity,BBG000DTM9J7,BBG000DTM676,627065864740,EQ0000000000095547
MEADWESTVACO CORP,MWV,UN,Common Stock,Equity,BBG000C4ZH92,BBG000C4ZFV1,627065818172,EQ0000000000104790
TSAKOS ENERGY NAVIGATION LTD,TNP,UN,Common Stock,Equity,BBG000BRM333,BBG000BRM155,627065816017,EQ0000000000111539
VITAMIN SHOPPE INC,VSI,UN,Common Stock,Equity,BBG000C4M798,BBG000C4M4Y7,627065817516,EQ0000000000112159
COHEN & STEERS QUAL INC RLTY,RQI,UN,Closed-End Fund,Equity,BBG000CCPLJ5,BBG000CCPJS0,627065830355,EQ0000000000120893
AEROPOSTALE INC,ARO,UN,Common Stock,Equity,BBG000BG7C89,BBG000BG7986,627065776754,EQ0000000000132067
REGAL ENTERTAINMENT GROUP-A,RGC,UN,Common Stock,Equity,BBG000BG89Q5,BBG000BG8814,627065776885,EQ0000000000132205
CHIQUITA BRANDS INTL,CQB,UN,Common Stock,Equity,BBG000BCV3L6,BBG000BCV2F5,627065748830,EQ0000000000132369
DOVER DOWNS GAMING & ENTERTA,DDE,UN,Common Stock,Equity,BBG000BJK1W5,BBG000BJK093,627065793777,EQ0000000000132403
AMERESCO INC-CL A,AMRC,UN,Common Stock,Equity,BBG000BD1SQ7,BBG000BD1QL6,627067162856,EQ0000000000133745
VALE SA-SP ADR,VALE,UN,ADR,Equity,BBG000BN5MK0,BBG000BN5LG7,627065787760,EQ0000000000136682
PEPCO HOLDINGS INC,POM,UN,Common Stock,Equity,BBG000DQX313,BBG000DQX1D4,627065833663,EQ0000000000138109
WESTERN ASSET PREMIER BOND,WEA,UN,Closed-End Fund,Equity,BBG000BPYFZ2,BBG000BPYDK3,627065789157,EQ0000000000141765
BLACKROCK NEW YORK MUNI BOND,BQH,UN,Closed-End Fund,Equity,BBG000DXDL92,BBG000DXDJW1,627065866474,EQ0000000000144436
BLACKROCK MUNI BOND TRUST,BBK,UN,Closed-End Fund,Equity,BBG000DXNK84,BBG000DXNHH1,627065866479,EQ0000000000144446
BLACKROCK MUNICIPAL BOND INV,BIE,UN,Closed-End Fund,Equity,BBG000DXSWG4,BBG000DXRRS3,627065866644,EQ0000000000145881
PIONEER HIGH INCOME TRUST,PHT,UN,Closed-End Fund,Equity,BBG000DY4YT0,BBG000DY3VB6,627065866808,EQ0000000000148609
NATURAL RESOURCE PARTNERS LP,NRP,UN,MLP,Equity,BBG000GMHCX2,BBG000GMHBH2,627065840006,EQ0000000000160214
CIA SANEAMENTO BASICO DE-ADR,SBS,UN,ADR,Equity,BBG000BJLTQ0,BBG000BJLSG3,627065770809,EQ0000000000162075
LEAPFROG ENTERPRISES INC,LF,UN,Common Stock,Equity,BBG000MVYZF5,BBG000MVXV74,627065867857,EQ0000000000165422
PLATINUM UNDERWRITERS HLDGS,PTP,UN,Common Stock,Equity,BBG000BX3LR5,BBG000BX3J18,627065801831,EQ0000000000165446
JUST ENERGY GROUP INC,JE,UN,Common Stock,Equity,BBG000F0CK68,BBG000F0CH38,627065868243,EQ0000000000169777
THOMSON REUTERS CORP,TRI,UN,Common Stock,Equity,BBG000BBSCY8,BBG000BBS9F6,627065741383,EQ0000000000169809
AU OPTRONICS CORP-SPON ADR,AUO,UN,ADR,Equity,BBG000F106P9,BBG000F104P4,627065868600,EQ0000000000174756
MARKWEST ENERGY PARTNERS LP,MWE,UN,MLP,Equity,BBG000BB7NP7,BBG000BB7LK6,627065740549,EQ0000000000181591
ENPRO INDUSTRIES INC,NPO,UN,Common Stock,Equity,BBG000BW2HD2,BBG000BW2FF4,627065798666,EQ0000000000181625
JM SMUCKER CO/THE,SJM,UN,Common Stock,Equity,BBG000BT1984,BBG000BT1715,627065741125,EQ0000000000182032
NUVEEN QUAL PFD INC FD,JTP,UN,Closed-End Fund,Equity,BBG000CP0R55,BBG000CP0ND5,627065824579,EQ0000000000185364
ENBRIDGE ENERGY MANAGEMENT L,EEQ,UN,Common Stock,Equity,BBG000N32RR6,BBG000N32PN4,627065868740,EQ0000000000186028
MONTPELIER RE HOLDINGS LTD,MRH,UN,Common Stock,Equity,BBG000N7G377,BBG000N7F0C8,627065869205,EQ0000000000191779
WESTWOOD HOLDINGS GROUP INC,WHG,UN,Common Stock,Equity,BBG000F4X9B6,BBG000F4W650,627065871074,EQ0000000000198377
RINGCENTRAL INC-CLASS A,RNG,UN,Common Stock,Equity,BBG00562KGZ1,BBG000J094P3,627101854342,EQ0000000000201161
PIMCO NEW YORK MUNICIPAL II,PNI,UN,Closed-End Fund,Equity,BBG000F34NR2,BBG000F33JB9,627065870068,EQ0000000000218985
PIMCO MUNICIPAL INCOME FD II,PML,UN,Closed-End Fund,Equity,BBG000F37QB9,BBG000F37M82,627065870077,EQ0000000000219121
PIMCO CALIFORNIA MUNICIPA II,PCK,UN,Closed-End Fund,Equity,BBG000F39667,BBG000F394K6,627065870078,EQ0000000000219133
SANOFI-ADR,SNY,UN,ADR,Equity,BBG000BBD8P3,BBG000BBD5N1,627065741171,EQ0000000000227240
NEWCASTLE INVESTMENT CORP,NCT,UN,REIT,Equity,BBG000BNFLK1,BBG000BNFJF2,627065782091,EQ0000000000235832
NUVEEN GA DIV ADV MUNI FD 2,NKG,UN,Closed-End Fund,Equity,BBG000BQYHJ4,BBG000BQYD67,627065791078,EQ0000000000256513
DICK'S SPORTING GOODS INC,DKS,UN,Common Stock,Equity,BBG000F70ZJ9,BBG000F6ZWH2,627065872502,EQ0000000000262221
LMP REAL ESTATE INCOME FUND,RIT,UN,Closed-End Fund,Equity,BBG000NVLB89,BBG000NVK770,627065872572,EQ0000000000263133
FORTRESS INVESTMENT GRP-CL A,FIG,UN,MLP,Equity,BBG000NVNGC1,BBG000NVNCQ5,627065872590,EQ0000000000263437
BANC OF CALIFORNIA INC,BANC,UN,Common Stock,Equity,BBG000F7VK71,BBG000F7VG25,627065873181,EQ0000000000277797
ENLINK MIDSTREAM PARTNERS LP,ENLK,UN,MLP,Equity,BBG000JV7HH7,BBG000JV7CL3,627065851617,EQ0000000000291585
PROVIDENT FINANCIAL SERVICES,PFS,UN,Common Stock,Equity,BBG000P23MN0,BBG000P23KW4,627065874285,EQ0000000000302129
JOHN HANCOCK PFD INCOME FD,HPI,UN,Closed-End Fund,Equity,BBG000BDH2Q7,BBG000BDH0T8,627065752514,EQ0000000000305136
PIMCO MUNI INCOME FUND III,PMX,UN,Closed-End Fund,Equity,BBG000P33WT0,BBG000P33V12,627065874488,EQ0000000000306325
BLACKROCK MUNICIPAL INCOME I,BAF,UN,Closed-End Fund,Equity,BBG000BH0JX1,BBG000BH0G76,627065763216,EQ0000000000320420
CARMAX INC,KMX,UN,Common Stock,Equity,BBG000BLN1T1,BBG000BLMZK6,627065809465,EQ0000000000322381
TRIPLE-S MANAGEMENT CORP-B,GTS,UN,Common Stock,Equity,BBG000P75830,BBG000P755R0,627066568098,EQ0000000000333135
NUVEEN QUAL PFD INC FD 2,JPS,UN,Closed-End Fund,Equity,BBG000CR3930,BBG000CR36S9,627065825370,EQ0000000000342422
CIMAREX ENERGY CO,XEC,UN,Common Stock,Equity,BBG000D6L418,BBG000D6L294,627065829958,EQ0000000000342930
KONAMI CORP-ADR,KNM,UN,ADR,Equity,BBG000BTMCV8,BBG000BTMBB2,627065757419,EQ0000000000350843
DOLBY LABORATORIES INC-CL A,DLB,UN,Common Stock,Equity,BBG000DGLWP8,BBG000DGLTG5,627065840936,EQ0000000000352002
NUVEEN CA AMT-FR MUNI INC FD,NKX,UN,Closed-End Fund,Equity,BBG000PC42H8,BBG000PC40T9,627065876507,EQ0000000000361207
NUVEEN AMT-FREE MUNI INC FD,NEA,UN,Closed-End Fund,Equity,BBG000PC4KM2,BBG000PC4J09,627065876508,EQ0000000000361223
CHINA TELECOM CORP LTD-ADR,CHA,UN,ADR,Equity,BBG000PCNSJ8,BBG000PCNQN7,627065876656,EQ0000000000364654
PARAMOUNT GROUP INC,PGRE,UN,REIT,Equity,BBG0071N8WL0,BBG000FBRL11,627066803788,EQ0000000000367654
NUVEEN NY AMT-FR MUNI INC FD,NRK,UN,Closed-End Fund,Equity,BBG000BKVRH0,BBG000BKVPN7,627065774955,EQ0000000000380563
BLACKROCK MUNICIPAL INCOME Q,BYM,UN,Closed-End Fund,Equity,BBG000BLWGS9,BBG000BLWDZ8,627065777710,EQ0000000000380576
PIMCO NEW YORK MUNICIPAL III,PYN,UN,Closed-End Fund,Equity,BBG000BM2C54,BBG000BM28W3,627065778292,EQ0000000000380580
PIMCO CALIFORNIA MUNICIP III,PZC,UN,Closed-End Fund,Equity,BBG000BM6TD4,BBG000BM6QZ6,627065778733,EQ0000000000380584
BLACKROCK NEW YORK MUNICIPAL,BSE,UN,Closed-End Fund,Equity,BBG000BMHC12,BBG000BMH919,627065779442,EQ0000000000380956
JOHN HANCOCK PFD INCOME II,HPF,UN,Closed-End Fund,Equity,BBG000F4CFS7,BBG000F4BBK5,627065835745,EQ0000000000381432
EVERBANK FINANCIAL CORP,EVER,UN,Common Stock,Equity,BBG001777SG8,BBG000C12ZK1,627066713643,EQ0000000000389819
TENARIS SA-ADR,TS,UN,ADR,Equity,BBG000PLD732,BBG000PLD4R3,627065878088,EQ0000000000399114
TRW AUTOMOTIVE HOLDINGS CORP,TRW,UN,Common Stock,Equity,BBG000PLXSF1,BBG000PLXQQ3,627065878336,EQ0000000000403510
ALPHA NATURAL RESOURCES INC,ANR,UN,Common Stock,Equity,BBG000PM7JF8,BBG000PM7GJ0,627065878507,EQ0000000000406334
DENALI FUND/THE,DNY,UN,Closed-End Fund,Equity,BBG000PMFV26,BBG000PMFSJ5,627065878626,EQ0000000000408393
FEDERATED PREMIER MUNI INC,FMN,UN,Closed-End Fund,Equity,BBG000CV0WJ6,BBG000CTZS48,627065826379,EQ0000000000412931
NUVEEN QUAL PFD INC FD 3,JHP,UN,Closed-End Fund,Equity,BBG000HJFQB3,BBG000HJFLH8,627065843862,EQ0000000000423707
PIMCO CORPORATE & INCOME OPP,PTY,UN,Closed-End Fund,Equity,BBG000KYH3Q9,BBG000KYH156,627065859376,EQ0000000000436582
FEDERATED PREMIER INT MUNI,FPT,UN,Closed-End Fund,Equity,BBG000L6YVN1,BBG000L6YT01,627065861032,EQ0000000000438343
ENDURANCE SPECIALTY HOLDINGS,ENH,UN,Common Stock,Equity,BBG000DQV743,BBG000DQV538,627065833641,EQ0000000000441411
MOLSON COORS BREWING CO -A,TAP/A,UN,Common Stock,Equity,BBG000KBDRV4,BBG000KBCNV4,627065864056,EQ0000000000443378
MOLINA HEALTHCARE INC,MOH,UN,Common Stock,Equity,BBG000MBHPT5,BBG000MBHNC8,627065866245,EQ0000000000446731
SUMITOMO MITSUI-SPONS ADR,SMFG,UN,ADR,Equity,BBG000PMKF61,BBG000PMKCQ6,627065878707,EQ0000000000458690
AURICO GOLD INC,AUQ,UN,Common Stock,Equity,BBG000PNFK46,BBG000PNFHT6,627065878752,EQ0000000000459779
FLAH & CRUM PFD SEC INCOME,FFC,UN,Closed-End Fund,Equity,BBG000PNB936,BBG000PNB1G9,627065879147,EQ0000000000472099
PROGRESSIVE WASTE SOLUTIONS,BIN,UN,Common Stock,Equity,BBG000FLJ2N6,BBG000FLHZZ2,627065879238,EQ0000000000473688
NUVEEN PFD INC OPP FD,JPC,UN,Closed-End Fund,Equity,BBG000BD4JH4,BBG000BD4GK6,627065751104,EQ0000000000482578
ELLSWORTH FUND INC,XECFX,UN,Closed-End Fund,Equity,BBG000BW4K70,BBG000BW4K70,399432613199,EQ0000000000486302
VERMILION ENERGY INC,VET,UN,Common Stock,Equity,BBG000PL3FN3,BBG000PL3C78,627065870855,EQ0000000000494099
ADVENT CLAYMORE CVT SEC& INC,AVK,UN,Closed-End Fund,Equity,BBG000KDQWM5,BBG000KDPR38,627065857126,EQ0000000000505847
ALAMOS GOLD INC,AGI,UN,Common Stock,Equity,BBG000N3LF28,BBG000N3L9P7,627065868776,EQ0000000000508294
ALLIANZGI CONVERTIBLE & INCO,NCV,UN,Closed-End Fund,Equity,BBG000BNY2H6,BBG000BNY0Q0,627065786133,EQ0000000000509619
NEOPHOTONICS CORP,NPTN,UN,Common Stock,Equity,BBG000CL6XS0,BBG000CL6VN9,627067337307,EQ0000000000516482
AXIS CAPITAL HOLDINGS LTD,AXS,UN,Common Stock,Equity,BBG000FLFB23,BBG000FLF615,627065837460,EQ0000000000520662
BLACKROCK CORPORATE HIGH YIE,HYT,UN,Closed-End Fund,Equity,BBG000KS85R6,BBG000KS8391,627065858729,EQ0000000000534099
PIMCO HIGH INCOME FUND,PHK,UN,Closed-End Fund,Equity,BBG000FHN4B9,BBG000FHN0Y2,627065837103,EQ0000000000546323
INTERCONTINENTAL HOTELS-ADR,IHG,UN,ADR,Equity,BBG000DX17X9,BBG000DX15P2,627065858408,EQ0000000000548390
OCH-ZIFF CAPITAL MANAGEMEN-A,OZM,UN,MLP,Equity,BBG000N08JR4,BBG000N08GQ1,627066768292,EQ0000000000555887
LENNAR CORP - B SHS,LEN/B,UN,Common Stock,Equity,BBG000KKVG84,BBG000KKVD81,627065869949,EQ0000000000559099
ALLIANZGI CONV & INCOME II,NCZ,UN,Closed-End Fund,Equity,BBG000PQ41M3,BBG000PQ3ZD9,627065880523,EQ0000000000577571
WESTERN ASSET GLOBAL HIGH IN,EHI,UN,Closed-End Fund,Equity,BBG000PQ50P1,BBG000PQ4YV1,627065880554,EQ0000000000577943
BLACKROCK MUNI NY INT DUR FD,MNE,UN,Closed-End Fund,Equity,BBG000PRJRQ4,BBG000PRJQ13,627065881277,EQ0000000000596879
BLACKROCK MUNI INTERM DURATI,MUI,UN,Closed-End Fund,Equity,BBG000PRK107,BBG000PRJYW2,627065881278,EQ0000000000596887
ASHFORD HOSPITALITY TRUST,AHT,UN,REIT,Equity,BBG000PRZWN8,BBG000PRZVD1,627065881443,EQ0000000000599810
COHEN & STEERS REIT & PR,RNP,UN,Closed-End Fund,Equity,BBG000PS1V55,BBG000PS1R90,627065881459,EQ0000000000599962
NUVEEN CREDIT STRAT INC FD,JQC,UN,Closed-End Fund,Equity,BBG000PS9KF0,BBG000PS9HF7,627065881626,EQ0000000000602406
JOHN HANCOCK PFD INCOME III,HPS,UN,Closed-End Fund,Equity,BBG000C16N51,BBG000C16LM6,627065811399,EQ0000000000606890
PIMCO INCOME STRATEGY FUND,PFL,UN,Closed-End Fund,Equity,BBG000PLGWV3,BBG000PLGSM2,627065878148,EQ0000000000644091
BLACKROCK LTD DURATION INC,BLW,UN,Closed-End Fund,Equity,BBG000PLYP84,BBG000PLYMY2,627065878364,EQ0000000000644455
FLAH & CRUM TOTAL RETURN FD,FLC,UN,Closed-End Fund,Equity,BBG000PN2BR5,BBG000PN2918,627065879036,EQ0000000000646014
CHUNGHWA TELECOM LT-SPON ADR,CHT,UN,ADR,Equity,BBG000BBYL26,BBG000BBYJ94,627065744909,EQ0000000000648635
PIONEER MUNI HI INCOME TRUST,MHI,UN,Closed-End Fund,Equity,BBG000PTD977,BBG000PTD753,627065882084,EQ0000000000658562
EATON VANCE TAX-ADV DVD INC,EVT,UN,Closed-End Fund,Equity,BBG000BXWGZ5,BBG000BXWDK8,627065804581,EQ0000000000671858
BLACKROCK MUNI 2020 TERM TRS,BKK,UN,Closed-End Fund,Equity,BBG000PVTJC7,BBG000PVTH86,627065882764,EQ0000000000672414
WHITING PETROLEUM CORP,WLL,UN,Common Stock,Equity,BBG000PX40S4,BBG000PX3XC0,627065883386,EQ0000000000688466
TEMPUR SEALY INTERNATIONAL I,TPX,UN,Common Stock,Equity,BBG000PXGX45,BBG000PXGT62,627065883535,EQ0000000000690343
TELECOM ITALIA SPA-SPON ADR,TI,UN,ADR,Equity,BBG000C0QR16,BBG000C0QNL3,627065883651,EQ0000000000693995
TELECOM ITALIA SPA-SPON ADR,TI/A,UN,ADR,Equity,BBG000C0R2Y4,BBG000C0R1S3,627065883652,EQ0000000000693999
GRANITE REAL ESTATE INVESTME,GRP/U,UN,REIT,Equity,BBG000PXQR56,BBG000PXQP96,627065883722,EQ0000000000695103
WESTLAKE CHEMICAL CORP,WLK,UN,Common Stock,Equity,BBG000PXZGY8,BBG000PXZFW2,627065883865,EQ0000000000705647
EATON VANCE SR FLTG RATE TR,EFR,UN,Closed-End Fund,Equity,BBG000PYBBS0,BBG000PYB9D1,627065884029,EQ0000000000709187
NELNET INC-CL A,NNI,UN,Common Stock,Equity,BBG000PYK031,BBG000PYJY93,627065884137,EQ0000000000710502
BLACKROCK FLOAT RT INCOME ST,FRA,UN,Closed-End Fund,Equity,BBG000PYJ3W5,BBG000PYJ211,627065884129,EQ0000000000710358
MANAGED DURATION INVESTMENT,MZF,UN,Closed-End Fund,Equity,BBG000PZF837,BBG000PZF7B0,627065884531,EQ0000000000717619
BLACKROCK FL MUNI 2020 TERM,BFO,UN,Closed-End Fund,Equity,BBG000PZKVF7,BBG000PZKSG3,627065884572,EQ0000000000718195
FRANKLIN LIMITED DURATION IN,XXFTFXX,UN,Closed-End Fund,Equity,BBG000PZNXL3,BBG000PZNXL3,399432617915,EQ0000000000718834
NUVEEN DIVER DIV AND INC FD,JDD,UN,Closed-End Fund,Equity,BBG000Q01KJ4,BBG000Q01GY6,627065884963,EQ0000000000724598
NEUSTAR INC-CLASS A,NSR,UN,Common Stock,Equity,BBG000Q0FK09,BBG000Q0FH88,627065885289,EQ0000000000728379
FIRST MARBLEHEAD CORP/THE,FMD,UN,Common Stock,Equity,BBG000BN6492,BBG000BN6349,627065781398,EQ0000000000734514
CRESCENT POINT ENERGY CORP,CPG,UN,Common Stock,Equity,BBG000Q16QZ6,BBG000Q16PK4,627065885960,EQ0000000000738959
CNO FINANCIAL GROUP INC,CNO,UN,Common Stock,Equity,BBG000Q1GLM0,BBG000Q1GK24,627065886150,EQ0000000000741030
SHINHAN FINANCIAL GROUP-ADR,SHG,UN,ADR,Equity,BBG000BF9762,BBG000BF95M8,627065757502,EQ0000000000745739
VONAGE HOLDINGS CORP,VG,UN,Common Stock,Equity,BBG000BRB8Y0,BBG000BRB5D9,627065791780,EQ0000000000754370
FIRST POTOMAC REALTY TRUST,FPO,UN,REIT,Equity,BBG000BRSFD9,BBG000BRSCZ2,627065792384,EQ0000000000757911
WA/CLAY US INFL-LKD SEC&INC,WIA,UN,Closed-End Fund,Equity,BBG000BRVQT4,BBG000BRVNX6,627065792422,EQ0000000000758531
PIONEER MUNI HI INC ADV TRST,MAV,UN,Closed-End Fund,Equity,BBG000BTK5K7,BBG000BTK484,627065795011,EQ0000000000770651
UNIVERSAL TECHNICAL INSTITUT,UTI,UN,Common Stock,Equity,BBG000BJSQB5,BBG000BJSMW1,627065795213,EQ0000000000772186
WESTERN ASSET EMERGING MARKE,ESD,UN,Closed-End Fund,Equity,BBG000BVBSM0,BBG000BVBQD4,627065797351,EQ0000000000782495
BAYTEX ENERGY CORP,BTE,UN,Common Stock,Equity,BBG000BW3P34,BBG000BW3M86,627065798721,EQ0000000000786711
GUGGENHEIM ENHANCED EQUITY S,GGE,UN,Closed-End Fund,Equity,BBG000BZJPG6,BBG000BZJMX4,627065809265,EQ0000000000805462
ASSURANT INC,AIZ,UN,Common Stock,Equity,BBG000BZX2Z0,BBG000BZX1N5,627065809553,EQ0000000000807123
GABELLI DIVIDEND & INCOME TR,GDV,UN,Closed-End Fund,Equity,BBG000C08TY6,BBG000C08QP2,627065810117,EQ0000000000809314
KRONOS WORLDWIDE INC,KRO,UN,Common Stock,Equity,BBG000C3WLC4,BBG000C3WK36,627065816147,EQ0000000000827494
COMPASS MINERALS INTERNATION,CMP,UN,Common Stock,Equity,BBG000C42YN5,BBG000C42WS4,627065816564,EQ0000000000832626
ASPEN INSURANCE HOLDINGS LTD,AHL,UN,Common Stock,Equity,BBG000BFVP03,BBG000BFVKZ6,627065759822,EQ0000000000839648
CORPBANCA SA-ADR,BCA,UN,ADR,Equity,BBG000F05TD9,BBG000F05Q54,627065823934,EQ0000000000841875
CHINA LIFE INSURANCE CO-ADR,LFC,UN,ADR,Equity,BBG000BBK6C3,BBG000BBK4B9,627065741996,EQ0000000000844143
NRG ENERGY INC,NRG,UN,Common Stock,Equity,BBG000D8RHJ0,BBG000D8RG11,627065830763,EQ0000000000859200
ENLINK MIDSTREAM LLC,ENLC,UN,Common Stock,Equity,BBG000F2SH19,BBG000F2SFN9,627065835498,EQ0000000000872328
VMWARE INC-CLASS A,VMW,UN,Common Stock,Equity,BBG000BC9BV2,BBG000BC9938,627066940342,EQ0000000000878812
